timestamp,datetime,pod,storage_used,total_storage
1773254172.4672444,2026-03-12T00:06:12.467246,mongodb,7.780124664306641,10
1773254177.9900923,2026-03-12T00:06:17.990094,mongodb,7.996696472167969,10
1773254183.417662,2026-03-12T00:06:23.417664,mongodb,6.9941558837890625,10
1773254188.8703253,2026-03-12T00:06:28.870327,mongodb,7.316307067871094,10
1773254194.323731,2026-03-12T00:06:34.323733,mongodb,7.532928466796875,10
1773254200.1777318,2026-03-12T00:06:40.177733,mongodb,7.717720031738281,10
1773254205.6680279,2026-03-12T00:06:45.668029,mongodb,7.926517486572266,10
1773254211.2042544,2026-03-12T00:06:51.204256,mongodb,8.13509750366211,10
1773254216.6761625,2026-03-12T00:06:56.676164,mongodb,8.32778549194336,10
1773254222.217489,2026-03-12T00:07:02.217490,mongodb,8.528560638427734,10
1773254228.054323,2026-03-12T00:07:08.054325,mongodb,8.745197296142578,10
1773254233.653492,2026-03-12T00:07:13.653493,mongodb,8.953849792480469,10
1773254239.275718,2026-03-12T00:07:19.275719,mongodb,8.130165100097656,10
1773254244.9153838,2026-03-12T00:07:24.915385,mongodb,8.261306762695312,10
1773254250.5669918,2026-03-12T00:07:30.566994,mongodb,8.43820571899414,10
1773254256.0632899,2026-03-12T00:07:36.063292,mongodb,8.615081787109375,10
1773254261.548586,2026-03-12T00:07:41.548588,mongodb,8.839584350585938,10
1773254267.036065,2026-03-12T00:07:47.036066,mongodb,9.040290832519531,10
1773254272.5378687,2026-03-12T00:07:52.537871,mongodb,9.209365844726562,10
1773254278.0279777,2026-03-12T00:07:58.027979,mongodb,9.394161224365234,10
1773254283.6053042,2026-03-12T00:08:03.605306,mongodb,9.567054748535156,10
1773254289.2627692,2026-03-12T00:08:09.262771,mongodb,9.650493621826172,10
1773254294.7832756,2026-03-12T00:08:14.783277,mongodb,9.827369689941406,10
1773254300.2853963,2026-03-12T00:08:20.285397,mongodb,9.091060638427734,10
1773254305.740433,2026-03-12T00:08:25.740434,mongodb,9.275894165039062,10
1773254311.17026,2026-03-12T00:08:31.170262,mongodb,9.460739135742188,10
1773254316.612946,2026-03-12T00:08:36.612947,mongodb,9.677314758300781,10
1773254322.113368,2026-03-12T00:08:42.113369,mongodb,9.830371856689453,10
1773254327.570473,2026-03-12T00:08:47.570475,mongodb,10.062873840332031,10
1773254333.0915196,2026-03-12T00:08:53.091521,mongodb,10.279491424560547,10
1773254338.4463875,2026-03-12T00:08:58.446388,mongodb,10.432472229003906,10
1773254343.8048246,2026-03-12T00:09:03.804826,mongodb,10.432472229003906,10
1773254349.0699055,2026-03-12T00:09:09.069906,mongodb,10.432472229003906,10
